['testing/AStar-Alg3-LmCut-pcp13'],[0.29651689529418945]
['testing/AStar-Alg3-LmCut-pcp14'],[0.2897779941558838]
['testing/AStar-Alg3-LmCut-pcp15'],[0.2981550693511963]
['testing/AStar-Alg3-LmCut-pcp16'],[0.30863094329833984]
['testing/AStar-Alg3-LmCut-pcp17'],[0.3055441379547119]
['testing/AStar-Alg3-LmCut-smartphone1'],[0.2771260738372803]
['testing/AStar-Alg3-LmCut-smartphone2'],[0.3538239002227783]
['testing/AStar-Alg3-LmCut-smartphone3'],[20.800230979919434]
['testing/AStar-Alg3-LmCut-smartphone4'],[21.29606604576111]
['testing/AStar-Alg3-LmCut-smartphone5'],[0.8389818668365479]
['testing/AStar-Alg3-LmCut-smartphone6'],[0.283689022064209]
['testing/AStar-Alg3-LmCut-smartphone7'],[0.44759106636047363]
['testing/AStar-Alg3-LmCut-transport1'],[0.31015586853027344]
['testing/AStar-Alg3-LmCut-transport2'],[0.759688138961792]
['testing/AStar-Alg3-LmCut-transport3'],[0.5453460216522217]
['testing/AStar-Alg3-LmCut-transport4'],[9.378691911697388]
['testing/AStar-Alg3-LmCut-transport5'],[21.847453117370605]
['testing/AStar-Alg3-LmCut-transport6'],[20.595301866531372]
['testing/AStar-Alg3-LmCut-transport7'],[20.86568307876587]
['testing/AStar-Alg3-LmCut-transport8'],[21.548558950424194]
['testing/AStar-Alg3-LmCut-transport9'],[21.911566019058228]
['testing/AStar-Alg3-LmCut-transport10'],[22.310691118240356]
['testing/AStar-Alg3-LmCut-transport11'],[21.441584825515747]
['testing/AStar-Alg3-LmCut-transport12'],[21.461291074752808]
['testing/AStar-Alg3-LmCut-transport13'],[22.129159927368164]
['testing/AStar-Alg3-LmCut-transport14'],[24.104081869125366]
['testing/AStar-Alg3-LmCut-transport15'],[34.789578914642334]
['testing/AStar-Alg3-LmCut-transport16'],[30.271466970443726]
['testing/AStar-Alg3-LmCut-transport17'],[58.77211880683899]
