,num_variables,num_primitive_tasks,num_non_primitive_tasks,total_tasks,num_methods,initial_heuristic,expanded_nodes,solution_length
transport-p17.hddl,62,240,100,340,355,60,228880,undefined
transport-p18.hddl,68,270,111,381,401,73,undefined,undefined
transport-p19.hddl,76,278,124,402,401,70,undefined,undefined
transport-p20.hddl,60,226,83,309,353,45,318080,undefined
transport-p21.hddl,78,255,142,397,406,58,undefined,undefined
transport-p22.hddl,99,324,187,511,511,75,undefined,undefined
transport-p23.hddl,107,429,176,605,634,66,159227,undefined
transport-p24.hddl,88,230,133,363,341,77,188004,undefined
transport-p25.hddl,168,600,333,933,949,100,undefined,undefined
transport-p26.hddl,216,1052,421,1473,1545,118,undefined,undefined
transport-p27.hddl,195,770,391,1161,1241,86,undefined,undefined
transport-p28.hddl,250,900,516,1416,1406,129,undefined,undefined
transport-p29.hddl,320,1635,651,2286,2396,142,undefined,undefined
transport-p30.hddl,364,1968,681,2649,3037,131,undefined,undefined

,num_variables,num_primitive_tasks,num_non_primitive_tasks,total_tasks,num_methods,initial_heuristic,expanded_nodes,solution_length
umtranslog-p1.hddl,22,22,1,23,1,23,2,27
umtranslog-p2.hddl,13,11,1,12,1,12,2,14
umtranslog-p3.hddl,11,11,1,12,1,12,2,15
umtranslog-p4.hddl,13,9,1,10,1,10,2,12
umtranslog-p5.hddl,14,10,2,12,3,12,3,14
umtranslog-p6.hddl,9,7,1,8,1,8,2,10
umtranslog-p7.hddl,11,7,1,8,1,8,2,8
umtranslog-p8.hddl,9,7,1,8,1,8,2,10
umtranslog-p9.hddl,13,9,1,10,1,10,2,12
umtranslog-p10.hddl,13,9,1,10,1,10,2,12
umtranslog-p11.hddl,25,22,2,24,3,24,3,39
umtranslog-p12.hddl,15,13,1,14,1,14,2,18
umtranslog-p13.hddl,25,21,1,22,1,22,2,28
umtranslog-p14.hddl,9,7,1,8,1,8,2,10
umtranslog-p15.hddl,10,8,2,10,3,9,3,12
umtranslog-p16.hddl,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
umtranslog-p17.hddl,9,7,1,8,1,8,2,10
umtranslog-p18.hddl,9,7,1,8,1,8,2,10
umtranslog-p19.hddl,21,18,2,20,3,20,3,32
