20s timeout,Stack-Add,Stack-FF,Stack-LmCut
smartphone-p2.hddl,22.28,21.05,21.08
smartphone-p3.hddl,26.92,21.70,25.43
smartphone-p6.hddl,0,0,0
smartphone-p5.hddl,0,0,0.001
smartphone-p1.hddl,0,0.001,0
smartphone-p7.hddl,0.002,0.002,0.003
smartphone-p4.hddl,21.98,21.23,22.00
