20s timeout,Stack-Add,Stack-FF,Stack-LmCut
smartphone-p2.hddl,94,104,104
smartphone-p3.hddl,380,267,361
smartphone-p6.hddl,6,6,6
smartphone-p5.hddl,6,6,6
smartphone-p1.hddl,6,6,6
smartphone-p7.hddl,11,11,11
smartphone-p4.hddl,127,120,92
