['AStar-Alg3-FF-entertainment1'],"[psutil.Process(pid=3417, name='python3', started='13:51:11')]",[12.4928],[0.14365291595458984]
['AStar-Alg3-FF-entertainment2'],"[psutil.Process(pid=3417, name='python3', started='13:51:11')]",[12.4928],[0.11655759811401367]
['AStar-Alg3-FF-entertainment3'],"[psutil.Process(pid=3417, name='python3', started='13:51:11')]",[12.4928],[0.08731365203857422]
['AStar-Alg3-FF-entertainment4'],"[psutil.Process(pid=3417, name='python3', started='13:51:11')]",[12.4928],[0.08669805526733398]
['AStar-Alg3-FF-entertainment5'],"[psutil.Process(pid=3417, name='python3', started='13:51:11')]",[12.4928],[0.08717465400695801]
['AStar-Alg3-FF-entertainment6'],"[psutil.Process(pid=3417, name='python3', started='13:51:11')]",[12.4928],[16.191396236419678]
['AStar-Alg3-FF-entertainment7'],"[psutil.Process(pid=3417, name='python3', started='13:51:11')]",[12.4928],[16.35714554786682]
['AStar-Alg3-FF-entertainment8'],"[psutil.Process(pid=3417, name='python3', started='13:51:11')]",[12.4928],[16.221251964569092]
['AStar-Alg3-FF-entertainment9'],"[psutil.Process(pid=3417, name='python3', started='13:51:11')]",[12.4928],[16.17206335067749]
['AStar-Alg3-FF-entertainment10'],"[psutil.Process(pid=3417, name='python3', started='13:51:11')]",[12.4928],[16.153362274169922]
['AStar-Alg3-FF-entertainment11'],"[psutil.Process(pid=3417, name='python3', started='13:51:11')]",[12.4928],[16.145360469818115]
['AStar-Alg3-FF-entertainment12'],"[psutil.Process(pid=3417, name='python3', started='13:51:11')]",[12.4928],[16.111700773239136]
['AStar-Alg3-FF-pcp1'],"[psutil.Process(pid=3417, name='python3', started='13:51:11')]",[12.496896],[0.1284935474395752]
['AStar-Alg3-FF-pcp2'],"[psutil.Process(pid=3417, name='python3', started='13:51:11')]",[12.496896],[0.11915230751037598]
['AStar-Alg3-FF-pcp3'],"[psutil.Process(pid=3417, name='python3', started='13:51:11')]",[12.496896],[0.14163780212402344]
['AStar-Alg3-FF-pcp4'],"[psutil.Process(pid=3417, name='python3', started='13:51:11')]",[12.496896],[0.11774373054504395]
['AStar-Alg3-FF-pcp5'],"[psutil.Process(pid=3417, name='python3', started='13:51:11')]",[12.496896],[0.1602029800415039]
['AStar-Alg3-FF-pcp6'],"[psutil.Process(pid=3417, name='python3', started='13:51:11')]",[12.496896],[0.11675620079040527]
['AStar-Alg3-FF-pcp7'],"[psutil.Process(pid=3417, name='python3', started='13:51:11')]",[12.496896],[0.11710429191589355]
['AStar-Alg3-FF-pcp8'],"[psutil.Process(pid=3417, name='python3', started='13:51:11')]",[12.496896],[0.12251853942871094]
['AStar-Alg3-FF-pcp9'],"[psutil.Process(pid=3417, name='python3', started='13:51:11')]",[12.500992],[0.10481905937194824]
['AStar-Alg3-FF-pcp10'],"[psutil.Process(pid=3417, name='python3', started='13:51:11')]",[12.500992],[0.11944317817687988]
['AStar-Alg3-FF-pcp11'],"[psutil.Process(pid=3417, name='python3', started='13:51:11')]",[12.500992],[0.1213998794555664]
['AStar-Alg3-FF-pcp12'],"[psutil.Process(pid=3417, name='python3', started='13:51:11')]",[12.500992],[0.11764669418334961]
['AStar-Alg3-FF-pcp13'],"[psutil.Process(pid=3417, name='python3', started='13:51:11')]",[12.500992],[0.10929608345031738]
['AStar-Alg3-FF-pcp14'],"[psutil.Process(pid=3417, name='python3', started='13:51:11')]",[12.500992],[0.12650227546691895]
['AStar-Alg3-FF-pcp15'],"[psutil.Process(pid=3417, name='python3', started='13:51:11')]",[12.500992],[0.13933348655700684]
['AStar-Alg3-FF-pcp16'],"[psutil.Process(pid=3417, name='python3', started='13:51:11')]",[12.500992],[0.1330265998840332]
['AStar-Alg3-FF-pcp17'],"[psutil.Process(pid=3417, name='python3', started='13:51:11')]",[12.500992],[0.11736702919006348]
['AStar-Alg3-FF-rover1'],"[psutil.Process(pid=3417, name='python3', started='13:51:11')]",[12.500992],[0.43393564224243164]
['AStar-Alg3-FF-rover2'],"[psutil.Process(pid=3417, name='python3', started='13:51:11')]",[12.500992],[0.2663888931274414]
['AStar-Alg3-FF-rover3'],"[psutil.Process(pid=3417, name='python3', started='13:51:11')]",[12.500992],[0.2814950942993164]
['AStar-Alg3-FF-rover4'],"[psutil.Process(pid=3417, name='python3', started='13:51:11')]",[12.500992],[0.48158764839172363]
['AStar-Alg3-FF-rover5'],"[psutil.Process(pid=3417, name='python3', started='13:51:11')]",[12.500992],[16.153583526611328]
['AStar-Alg3-FF-rover6'],"[psutil.Process(pid=3417, name='python3', started='13:51:11')]",[12.500992],[16.574954509735107]
['AStar-Alg3-FF-rover7'],"[psutil.Process(pid=3417, name='python3', started='13:51:11')]",[12.500992],[16.124492645263672]
['AStar-Alg3-FF-rover8'],"[psutil.Process(pid=3417, name='python3', started='13:51:11')]",[12.500992],[16.40889263153076]
['AStar-Alg3-FF-rover9'],"[psutil.Process(pid=3417, name='python3', started='13:51:11')]",[12.505088],[16.152362823486328]
['AStar-Alg3-FF-rover10'],"[psutil.Process(pid=3417, name='python3', started='13:51:11')]",[12.505088],[16.286534786224365]
['AStar-Alg3-FF-rover11'],"[psutil.Process(pid=3417, name='python3', started='13:51:11')]",[12.505088],[16.150279998779297]
['AStar-Alg3-FF-rover12'],"[psutil.Process(pid=3417, name='python3', started='13:51:11')]",[12.505088],[16.20226216316223]
['AStar-Alg3-FF-rover13'],"[psutil.Process(pid=3417, name='python3', started='13:51:11')]",[12.509184],[16.55641746520996]
