['AStar-Alg3-FF-transport3'],[0.01834702491760254]
['AStar-Alg3-FF-transport4'],[0.020478010177612305]
['AStar-Alg3-FF-transport5'],[0.018944978713989258]
['AStar-Alg3-FF-transport6'],[0.01913595199584961]
['AStar-Alg3-FF-transport7'],[0.018941879272460938]
['AStar-Alg3-FF-transport8'],[0.018162012100219727]
['AStar-Alg3-FF-transport9'],[0.01777815818786621]
['AStar-Alg3-FF-transport10'],[0.01597309112548828]
['AStar-Alg3-FF-transport11'],[0.019726991653442383]
['AStar-Alg3-FF-transport12'],[0.016994953155517578]
['AStar-Alg3-FF-transport13'],[0.01743793487548828]
['AStar-Alg3-FF-transport14'],[0.015051126480102539]
['AStar-Alg3-FF-transport15'],[0.03100419044494629]
['AStar-Alg3-FF-transport16'],[0.024289846420288086]
['AStar-Alg3-FF-transport17'],[0.03138899803161621]
['AStar-Alg3-FF-transport18'],[0.031072139739990234]
['AStar-Alg3-FF-transport19'],[0.01696610450744629]
['AStar-Alg3-FF-transport20'],[0.01812601089477539]
['AStar-Alg3-FF-transport21'],[0.004472970962524414]
['AStar-Alg3-FF-transport22'],[0.007617950439453125]
['AStar-Alg3-FF-transport23'],[0.03152799606323242]
['AStar-Alg3-FF-transport24'],[0.004002094268798828]
['AStar-Alg3-FF-transport25'],[0.03116297721862793]
['AStar-Alg3-FF-transport26'],[0.030834197998046875]
['AStar-Alg3-FF-transport27'],[0.031136035919189453]
['AStar-Alg3-FF-transport28'],[0.030601978302001953]
['AStar-Alg3-FF-transport29'],[0.03181314468383789]
['AStar-Alg3-FF-transport30'],[0.0317840576171875]
['AStar-Alg3-FF-woodworking1'],[0.031761884689331055]
['AStar-Alg3-FF-woodworking2'],[0.006911039352416992]
['AStar-Alg3-FF-woodworking3'],[0.0021209716796875]
['AStar-Alg3-FF-woodworking4'],[0.007718086242675781]
['AStar-Alg3-FF-woodworking5'],[0.00481104850769043]
['AStar-Alg3-FF-woodworking6'],[0.006047964096069336]
['AStar-Alg3-FF-woodworking7'],[0.030726909637451172]
['AStar-Alg3-FF-woodworking8'],[0.031397104263305664]
['AStar-Alg3-FF-woodworking9'],[0.03205299377441406]
['AStar-Alg3-FF-woodworking10'],[0.0315859317779541]
['AStar-Alg3-FF-woodworking11'],[0.03075695037841797]
['AStar-Alg3-LmCut-umtranslog1'],[0.003412961959838867]
['AStar-Alg3-LmCut-umtranslog2'],[0.03188610076904297]
['AStar-Alg3-LmCut-umtranslog3'],[0.03204703330993652]
['AStar-Alg3-LmCut-umtranslog4'],[0.03139686584472656]
['AStar-Alg3-LmCut-umtranslog5'],[0.03172707557678223]
['AStar-Alg3-LmCut-umtranslog6'],[0.03174400329589844]
['AStar-Alg3-LmCut-umtranslog7'],[0.0014262199401855469]
['AStar-Alg3-LmCut-umtranslog8'],[0.0002617835998535156]
['AStar-Alg3-LmCut-umtranslog9'],[0.033479928970336914]
['AStar-Alg3-LmCut-umtranslog10'],[0.030752897262573242]
['AStar-Alg3-LmCut-umtranslog11'],[0.03128194808959961]
['AStar-Alg3-LmCut-umtranslog12'],[0.0003058910369873047]
['AStar-Alg3-LmCut-umtranslog13'],[0.031449079513549805]
['AStar-Alg3-LmCut-umtranslog14'],[0.027764081954956055]
['AStar-Alg3-LmCut-umtranslog15'],[0.004171133041381836]
['AStar-Alg3-LmCut-umtranslog16'],[1.6065599918365479]
['AStar-Alg3-LmCut-umtranslog17'],[0.08019399642944336]
['AStar-Alg3-LmCut-umtranslog18'],[0.10430502891540527]
['AStar-Alg3-LmCut-umtranslog19'],[0.10474014282226562]
['AStar-Alg3-LmCut-umtranslog20'],[0.09377193450927734]
['AStar-Alg3-LmCut-umtranslog21'],[0.10584807395935059]
['AStar-Alg3-LmCut-umtranslog22'],[0.10823607444763184]
['AStar-Alg3-LmCut-satellite1'],[0.10400795936584473]
['AStar-Alg3-LmCut-satellite2'],[0.0746469497680664]
['AStar-Alg3-LmCut-satellite3'],[0.10441708564758301]
['AStar-Alg3-LmCut-satellite4'],[0.106964111328125]
['AStar-Alg3-LmCut-satellite5'],[0.10944008827209473]
['AStar-Alg3-LmCut-satellite6'],[0.09214615821838379]
['AStar-Alg3-LmCut-satellite7'],[0.03122997283935547]
['AStar-Alg3-LmCut-satellite8'],[0.0238192081451416]
['AStar-Alg3-LmCut-satellite9'],[0.019798994064331055]
['AStar-Alg3-LmCut-satellite10'],[0.018978118896484375]
['AStar-Alg3-LmCut-satellite11'],[0.017894983291625977]
['AStar-Alg3-LmCut-satellite12'],[0.019543886184692383]
['AStar-Alg3-LmCut-satellite13'],[0.01977705955505371]
['AStar-Alg3-LmCut-satellite14'],[0.02236795425415039]
['AStar-Alg3-LmCut-satellite15'],[0.018973827362060547]
['AStar-Alg3-LmCut-satellite16'],[0.019166946411132812]
['AStar-Alg3-LmCut-satellite17'],[0.01775383949279785]
['AStar-Alg3-LmCut-satellite18'],[0.014384031295776367]
['AStar-Alg3-LmCut-satellite19'],[0.015365123748779297]
['AStar-Alg3-LmCut-satellite20'],[0.011829137802124023]
['AStar-Alg3-LmCut-satellite21'],[0.016345977783203125]
['AStar-Alg3-LmCut-satellite22'],[0.01046609878540039]
['AStar-Alg3-LmCut-satellite23'],[0.02438497543334961]
['AStar-Alg3-LmCut-satellite24'],[0.019984960556030273]
['AStar-Alg3-LmCut-satellite25'],[0.022814035415649414]
['AStar-Alg3-LmCut-entertainment1'],[0.030642986297607422]
['AStar-Alg3-LmCut-entertainment2'],[0.015411853790283203]
['AStar-Alg3-LmCut-entertainment3'],[0.03174901008605957]
['AStar-Alg3-LmCut-entertainment4'],[0.003946065902709961]
['AStar-Alg3-LmCut-entertainment5'],[0.031237125396728516]
['AStar-Alg3-LmCut-entertainment6'],[0.030947208404541016]
['AStar-Alg3-LmCut-entertainment7'],[0.03235006332397461]
['AStar-Alg3-LmCut-entertainment8'],[0.03095102310180664]
['AStar-Alg3-LmCut-entertainment9'],[0.03154611587524414]
['AStar-Alg3-LmCut-entertainment10'],[0.0317080020904541]
['AStar-Alg3-LmCut-entertainment11'],[0.028934955596923828]
['AStar-Alg3-LmCut-entertainment12'],[0.03155708312988281]
['AStar-Alg3-LmCut-rover1'],[0.00742793083190918]
['AStar-Alg3-LmCut-rover2'],[0.008441925048828125]
['AStar-Alg3-LmCut-rover3'],[0.010591983795166016]
['AStar-Alg3-LmCut-rover4'],[0.010069131851196289]
['AStar-Alg3-LmCut-rover5'],[0.013863086700439453]
['AStar-Alg3-LmCut-rover6'],[0.007176876068115234]
['AStar-Alg3-LmCut-rover7'],[0.00857400894165039]
['AStar-Alg3-LmCut-rover8'],[0.0026869773864746094]
['AStar-Alg3-LmCut-rover9'],[0.0028951168060302734]
['AStar-Alg3-LmCut-rover10'],[0.03787493705749512]
['AStar-Alg3-LmCut-rover11'],[0.03148603439331055]
['AStar-Alg3-LmCut-rover12'],[0.03133678436279297]
['AStar-Alg3-LmCut-rover13'],[0.03153491020202637]
['AStar-Alg3-LmCut-rover14'],[0.03170299530029297]
