,num_variables,num_primitive_tasks,num_non_primitive_tasks,total_tasks,num_methods,initial_heuristic,expanded_nodes,solution_length,sas_plan_cost
transport-p7.hddl,26,49,30,79,70,41,296,undefined,undefined
transport-p8.hddl,28,73,31,104,99,31,243,undefined,undefined
transport-p9.hddl,28,71,32,103,91,36,257,undefined,undefined
transport-p10.hddl,31,80,36,116,102,39,233,undefined,undefined
transport-p11.hddl,30,70,45,115,109,28,435,undefined,undefined
transport-p12.hddl,32,82,47,129,131,29,370,undefined,undefined
transport-p13.hddl,36,88,56,144,137,36,384,undefined,undefined
transport-p14.hddl,42,108,67,175,169,46,341,undefined,undefined
transport-p15.hddl,48,126,78,204,197,54,299,undefined,undefined
transport-p16.hddl,54,146,89,235,229,55,298,undefined,undefined
transport-p17.hddl,62,240,100,340,355,60,225,undefined,undefined
transport-p18.hddl,68,270,111,381,401,73,175,undefined,undefined
transport-p19.hddl,76,278,124,402,401,70,185,undefined,undefined
transport-p20.hddl,60,226,83,309,353,45,298,undefined,undefined
transport-p21.hddl,78,255,142,397,406,58,180,undefined,undefined
transport-p22.hddl,99,324,187,511,511,75,141,undefined,undefined
transport-p23.hddl,107,429,176,605,634,66,165,undefined,undefined
transport-p24.hddl,88,230,133,363,341,77,155,undefined,undefined
transport-p25.hddl,168,600,333,933,949,100,86,undefined,undefined
transport-p26.hddl,216,1052,421,1473,1545,118,65,undefined,undefined
transport-p27.hddl,195,770,391,1161,1241,86,75,undefined,undefined
transport-p28.hddl,250,900,516,1416,1406,129,56,undefined,undefined
transport-p29.hddl,320,1635,651,2286,2396,142,45,undefined,undefined
transport-p30.hddl,364,1968,681,2649,3037,131,50,undefined,undefined

,num_variables,num_primitive_tasks,num_non_primitive_tasks,total_tasks,num_methods,initial_heuristic,expanded_nodes,solution_length,sas_plan_cost
umtranslog-p1.hddl,22,22,1,23,1,23,2,27,23
umtranslog-p2.hddl,13,11,1,12,1,12,2,14,12
umtranslog-p3.hddl,11,11,1,12,1,12,2,15,12
umtranslog-p4.hddl,13,9,1,10,1,10,2,12,10
umtranslog-p5.hddl,14,10,2,12,3,12,3,14,12
umtranslog-p6.hddl,9,7,1,8,1,8,2,10,8
umtranslog-p7.hddl,11,7,1,8,1,8,2,8,8
umtranslog-p8.hddl,9,7,1,8,1,8,2,10,8
umtranslog-p9.hddl,13,9,1,10,1,10,2,12,10
umtranslog-p10.hddl,13,9,1,10,1,10,2,12,10
umtranslog-p11.hddl,25,22,2,24,3,24,3,39,24
umtranslog-p12.hddl,15,13,1,14,1,14,2,18,14
umtranslog-p13.hddl,25,21,1,22,1,22,2,28,22
umtranslog-p14.hddl,9,7,1,8,1,8,2,10,8
umtranslog-p15.hddl,10,8,2,10,3,9,3,12,10
umtranslog-p16.hddl,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
umtranslog-p17.hddl,9,7,1,8,1,8,2,10,8
umtranslog-p18.hddl,9,7,1,8,1,8,2,10,8
umtranslog-p19.hddl,21,18,2,20,3,20,3,32,20
umtranslog-p20.hddl,15,13,1,14,1,14,2,18,14
umtranslog-p21.hddl,24,20,1,21,1,21,1,undefined,21
umtranslog-p22.hddl,15,12,2,14,3,14,1,undefined,14

,num_variables,num_primitive_tasks,num_non_primitive_tasks,total_tasks,num_methods,initial_heuristic,expanded_nodes,solution_length,sas_plan_cost
woodworking-p1.hddl,24,89,53,142,197,17,51,undefined,18
woodworking-p2.hddl,10,8,4,12,9,6,6,6,6
woodworking-p3.hddl,19,18,3,21,15,9,1,undefined,9
woodworking-p4.hddl,10,7,5,12,10,7,2,undefined,7
woodworking-p5.hddl,21,21,11,32,34,13,2,undefined,13
woodworking-p6.hddl,23,25,11,36,38,13,2,undefined,13
woodworking-p7.hddl,55,164,90,254,320,30,144,undefined,undefined
woodworking-p8.hddl,90,588,324,912,1357,32,137,undefined,undefined
woodworking-p9.hddl,76,400,272,672,1142,23,83,undefined,undefined
woodworking-p10.hddl,101,701,381,1082,1577,38,93,undefined,undefined
woodworking-p11.hddl,99,739,442,1181,2001,22,75,undefined,undefined

