['AStar-Alg3-FF-transport4'],[3.434614896774292]
['AStar-Alg3-FF-transport5'],[4.082489967346191]
['AStar-Alg3-FF-transport6'],[3.593371868133545]
['AStar-Alg3-FF-transport7'],[3.357180118560791]
['AStar-Alg3-FF-transport8'],[3.8362250328063965]
['AStar-Alg3-FF-transport9'],[4.145570993423462]
['AStar-Alg3-FF-transport10'],[3.644733190536499]
['AStar-Alg3-FF-transport11'],[3.539815902709961]
['AStar-Alg3-FF-transport12'],[3.0610079765319824]
['AStar-Alg3-FF-transport13'],[3.806299924850464]
['AStar-Alg3-FF-transport14'],[3.5974278450012207]
['AStar-Alg3-FF-transport15'],[3.390338897705078]
['AStar-Alg3-FF-transport16'],[3.2895288467407227]
['AStar-Alg3-FF-transport17'],[3.7384188175201416]
['AStar-Alg3-FF-transport18'],[3.3026859760284424]
['AStar-Alg3-FF-transport19'],[3.2648348808288574]
['AStar-Alg3-FF-transport20'],[3.143428087234497]
['AStar-Alg3-FF-transport21'],[3.6114718914031982]
['AStar-Alg3-FF-transport22'],[3.3799610137939453]
['AStar-Alg3-FF-transport23'],[3.068372964859009]
['AStar-Alg3-FF-transport24'],[3.0692408084869385]
['AStar-Alg3-FF-transport25'],[3.3835318088531494]
['AStar-Alg3-FF-transport26'],[4.332697153091431]
['AStar-Alg3-FF-transport27'],[3.6097609996795654]
['AStar-Alg3-FF-transport28'],[3.1181178092956543]
['AStar-Alg3-FF-transport29'],[3.8944029808044434]
['AStar-Alg3-FF-transport30'],[4.047289133071899]
['AStar-Alg3-FF-woodworking1'],[0.23388886451721191]
['AStar-Alg3-FF-woodworking2'],[0.1001901626586914]
['AStar-Alg3-FF-woodworking3'],[0.1001279354095459]
['AStar-Alg3-FF-woodworking4'],[0.1001741886138916]
['AStar-Alg3-FF-woodworking5'],[0.1057438850402832]
['AStar-Alg3-FF-woodworking6'],[0.0596771240234375]
['AStar-Alg3-FF-woodworking7'],[3.0806379318237305]
['AStar-Alg3-FF-woodworking8'],[3.120378017425537]
['AStar-Alg3-FF-woodworking9'],[3.079543113708496]
['AStar-Alg3-FF-woodworking10'],[3.119457960128784]
['AStar-Alg3-FF-woodworking11'],[3.099951982498169]
['AStar-Alg3-LmCut-umtranslog1'],[0.06386113166809082]
['AStar-Alg3-LmCut-umtranslog2'],[0.05595207214355469]
['AStar-Alg3-LmCut-umtranslog3'],[0.05572509765625]
['AStar-Alg3-LmCut-umtranslog4'],[0.05500602722167969]
['AStar-Alg3-LmCut-umtranslog5'],[0.05502820014953613]
['AStar-Alg3-LmCut-umtranslog6'],[0.05699300765991211]
['AStar-Alg3-LmCut-umtranslog7'],[0.055110931396484375]
['AStar-Alg3-LmCut-umtranslog8'],[0.0558168888092041]
['AStar-Alg3-LmCut-umtranslog9'],[0.05547499656677246]
['AStar-Alg3-LmCut-umtranslog10'],[0.06858277320861816]
['AStar-Alg3-LmCut-umtranslog11'],[0.05440187454223633]
['AStar-Alg3-LmCut-umtranslog12'],[0.06258702278137207]
['AStar-Alg3-LmCut-umtranslog13'],[0.05545806884765625]
['AStar-Alg3-LmCut-umtranslog14'],[0.0567169189453125]
['AStar-Alg3-LmCut-umtranslog15'],[0.06679201126098633]
['AStar-Alg3-LmCut-umtranslog16'],[0.12489199638366699]
['AStar-Alg3-LmCut-umtranslog17'],[0.05997300148010254]
['AStar-Alg3-LmCut-umtranslog18'],[0.06242704391479492]
['AStar-Alg3-LmCut-umtranslog19'],[0.0558619499206543]
['AStar-Alg3-LmCut-umtranslog20'],[0.06540608406066895]
['AStar-Alg3-LmCut-umtranslog21'],[0.05654597282409668]
['AStar-Alg3-LmCut-umtranslog22'],[0.05757403373718262]
['AStar-Alg3-LmCut-satellite1'],[0.05642199516296387]
['AStar-Alg3-LmCut-satellite2'],[0.059142112731933594]
['AStar-Alg3-LmCut-satellite3'],[0.058763980865478516]
['AStar-Alg3-LmCut-satellite4'],[0.07154989242553711]
['AStar-Alg3-LmCut-satellite5'],[0.06276798248291016]
['AStar-Alg3-LmCut-satellite6'],[0.07340002059936523]
['AStar-Alg3-LmCut-satellite7'],[0.06096696853637695]
['AStar-Alg3-LmCut-satellite8'],[0.2729949951171875]
['AStar-Alg3-LmCut-satellite9'],[0.39588499069213867]
['AStar-Alg3-LmCut-satellite10'],[0.15695405006408691]
['AStar-Alg3-LmCut-satellite11'],[0.4404599666595459]
['AStar-Alg3-LmCut-satellite12'],[0.695911169052124]
['AStar-Alg3-LmCut-satellite13'],[0.8059990406036377]
['AStar-Alg3-LmCut-satellite14'],[2.2983272075653076]
['AStar-Alg3-LmCut-satellite15'],[0.7142319679260254]
['AStar-Alg3-LmCut-satellite16'],[3.061954975128174]
['AStar-Alg3-LmCut-satellite17'],[3.104020118713379]
['AStar-Alg3-LmCut-satellite18'],[3.0643179416656494]
['AStar-Alg3-LmCut-satellite19'],[3.057559013366699]
['AStar-Alg3-LmCut-satellite20'],[3.076140880584717]
['AStar-Alg3-LmCut-satellite21'],[3.1055970191955566]
['AStar-Alg3-LmCut-satellite22'],[3.0595691204071045]
['AStar-Alg3-LmCut-satellite23'],[0.05453991889953613]
['AStar-Alg3-LmCut-satellite24'],[0.05744314193725586]
['AStar-Alg3-LmCut-satellite25'],[0.055708885192871094]
['AStar-Alg3-LmCut-entertainment1'],[0.05608797073364258]
['AStar-Alg3-LmCut-entertainment2'],[0.06227588653564453]
['AStar-Alg3-LmCut-entertainment3'],[0.05409812927246094]
['AStar-Alg3-LmCut-entertainment4'],[0.0546870231628418]
['AStar-Alg3-LmCut-entertainment5'],[0.05782008171081543]
['AStar-Alg3-LmCut-entertainment6'],[6.41279411315918]
['AStar-Alg3-LmCut-entertainment7'],[4.3705549240112305]
['AStar-Alg3-LmCut-entertainment8'],[5.98124098777771]
['AStar-Alg3-LmCut-entertainment9'],[3.7940969467163086]
['AStar-Alg3-LmCut-entertainment10'],[4.130528926849365]
['AStar-Alg3-LmCut-entertainment11'],[6.093769788742065]
['AStar-Alg3-LmCut-entertainment12'],[4.9581499099731445]
['AStar-Alg3-LmCut-rover1'],[0.10802316665649414]
['AStar-Alg3-LmCut-rover2'],[0.06032919883728027]
['AStar-Alg3-LmCut-rover3'],[0.20688605308532715]
['AStar-Alg3-LmCut-rover4'],[0.06046485900878906]
['AStar-Alg3-LmCut-rover5'],[3.109470844268799]
['AStar-Alg3-LmCut-rover6'],[3.1565089225769043]
['AStar-Alg3-LmCut-rover7'],[3.3655800819396973]
['AStar-Alg3-LmCut-rover8'],[3.255565881729126]
['AStar-Alg3-LmCut-rover9'],[3.0877668857574463]
['AStar-Alg3-LmCut-rover10'],[4.337460994720459]
['AStar-Alg3-LmCut-rover11'],[3.627601146697998]
['AStar-Alg3-LmCut-rover12'],[3.117344856262207]
['AStar-Alg3-LmCut-rover13'],[3.631105899810791]
['AStar-Alg3-LmCut-rover14'],[5.622264862060547]
['AStar-Alg3-LmCut-rover15'],[4.751454830169678]
['AStar-Alg3-LmCut-rover16'],[3.7612950801849365]
['AStar-Alg3-LmCut-rover17'],[3.0964789390563965]
['AStar-Alg3-LmCut-rover18'],[3.191721200942993]
['AStar-Alg3-LmCut-rover19'],[18.893668174743652]
['AStar-Alg3-LmCut-rover20'],[13.666807889938354]
['AStar-Alg3-LmCut-pcp1'],[3.989684820175171]
['AStar-Alg3-LmCut-pcp2'],[5.0550689697265625]
['AStar-Alg3-LmCut-pcp3'],[3.4614999294281006]
['AStar-Alg3-LmCut-pcp4'],[5.6119561195373535]
['AStar-Alg3-LmCut-pcp5'],[3.1664609909057617]
['AStar-Alg3-LmCut-pcp6'],[3.6596550941467285]
['AStar-Alg3-LmCut-pcp7'],[4.0545759201049805]
['AStar-Alg3-LmCut-pcp8'],[3.4473791122436523]
['AStar-Alg3-LmCut-pcp9'],[5.5761260986328125]
['AStar-Alg3-LmCut-pcp10'],[3.12774395942688]
['AStar-Alg3-LmCut-pcp11'],[3.7340328693389893]
['AStar-Alg3-LmCut-pcp12'],[3.434584140777588]
['AStar-Alg3-LmCut-pcp13'],[3.4134490489959717]
['AStar-Alg3-LmCut-pcp14'],[3.2515151500701904]
['AStar-Alg3-LmCut-pcp15'],[3.620465040206909]
['AStar-Alg3-LmCut-pcp16'],[3.457754135131836]
['AStar-Alg3-LmCut-pcp17'],[3.4609620571136475]
['AStar-Alg3-LmCut-smartphone1'],[0.05405092239379883]
['AStar-Alg3-LmCut-smartphone2'],[5.773967027664185]
['AStar-Alg3-LmCut-smartphone3'],[4.083959102630615]
['AStar-Alg3-LmCut-smartphone4'],[8.264343023300171]
['AStar-Alg3-LmCut-smartphone5'],[0.10150718688964844]
['AStar-Alg3-LmCut-smartphone6'],[0.10242986679077148]
['AStar-Alg3-LmCut-smartphone7'],[0.1035010814666748]
['AStar-Alg3-LmCut-transport1'],[3.6295039653778076]
['AStar-Alg3-LmCut-transport2'],[3.623775005340576]
['AStar-Alg3-LmCut-transport3'],[4.349846839904785]
['AStar-Alg3-LmCut-transport4'],[3.820573091506958]
['AStar-Alg3-LmCut-transport5'],[4.265816926956177]
['AStar-Alg3-LmCut-transport6'],[3.3808720111846924]
['AStar-Alg3-LmCut-transport7'],[3.0780868530273438]
['AStar-Alg3-LmCut-transport8'],[3.3100340366363525]
['AStar-Alg3-LmCut-transport9'],[4.052433967590332]
['AStar-Alg3-LmCut-transport10'],[3.58996319770813]
['AStar-Alg3-LmCut-transport11'],[3.6292169094085693]
['AStar-Alg3-LmCut-transport12'],[3.5168728828430176]
['AStar-Alg3-LmCut-transport13'],[4.708611011505127]
['AStar-Alg3-LmCut-transport14'],[3.2954909801483154]
['AStar-Alg3-LmCut-transport15'],[3.4077389240264893]
['AStar-Alg3-LmCut-transport16'],[4.151841878890991]
['AStar-Alg3-LmCut-transport17'],[3.6342010498046875]
['AStar-Alg3-LmCut-transport18'],[3.530194044113159]
['AStar-Alg3-LmCut-transport19'],[3.373751163482666]
['AStar-Alg3-LmCut-transport20'],[5.605004072189331]
['AStar-Alg3-LmCut-transport21'],[3.6298739910125732]
['AStar-Alg3-LmCut-transport22'],[4.085426092147827]
['AStar-Alg3-LmCut-transport23'],[3.166384220123291]
['AStar-Alg3-LmCut-transport24'],[3.45687198638916]
['AStar-Alg3-LmCut-transport25'],[3.1289870738983154]
['AStar-Alg3-LmCut-transport26'],[3.1664540767669678]
['AStar-Alg3-LmCut-transport27'],[3.4261608123779297]
['AStar-Alg3-LmCut-transport28'],[3.3422229290008545]
['AStar-Alg3-LmCut-transport29'],[10.197500944137573]
['AStar-Alg3-LmCut-transport30'],[4.606235980987549]
['AStar-Alg3-LmCut-woodworking1'],[0.12481212615966797]
['AStar-Alg3-LmCut-woodworking2'],[0.055622100830078125]
['AStar-Alg3-LmCut-woodworking3'],[0.05990791320800781]
['AStar-Alg3-LmCut-woodworking4'],[0.06566214561462402]
['AStar-Alg3-LmCut-woodworking5'],[0.06641197204589844]
['AStar-Alg3-LmCut-woodworking6'],[0.06004810333251953]
['AStar-Alg3-LmCut-woodworking7'],[3.072496175765991]
['AStar-Alg3-LmCut-woodworking8'],[3.1173970699310303]
['AStar-Alg3-LmCut-woodworking9'],[3.0627830028533936]
['AStar-Alg3-LmCut-woodworking10'],[3.0933289527893066]
['AStar-Alg3-LmCut-woodworking11'],[3.1309759616851807]
['AStar-Alg3-Add-umtranslog1'],[0.05712413787841797]
['AStar-Alg3-Add-umtranslog2'],[0.05755805969238281]
['AStar-Alg3-Add-umtranslog3'],[0.06611394882202148]
['AStar-Alg3-Add-umtranslog4'],[0.06395888328552246]
['AStar-Alg3-Add-umtranslog5'],[0.10197114944458008]
['AStar-Alg3-Add-umtranslog6'],[0.10181879997253418]
['AStar-Alg3-Add-umtranslog7'],[0.10196208953857422]
['AStar-Alg3-Add-umtranslog8'],[0.12110185623168945]
['AStar-Alg3-Add-umtranslog9'],[0.10185694694519043]
['AStar-Alg3-Add-umtranslog10'],[0.11486387252807617]
['AStar-Alg3-Add-umtranslog11'],[0.10341095924377441]
['AStar-Alg3-Add-umtranslog12'],[0.09214019775390625]
['AStar-Alg3-Add-umtranslog13'],[0.0582120418548584]
['AStar-Alg3-Add-umtranslog14'],[0.06414508819580078]
['AStar-Alg3-Add-umtranslog15'],[0.06448912620544434]
['AStar-Alg3-Add-umtranslog16'],[0.12475204467773438]
['AStar-Alg3-Add-umtranslog17'],[0.05918002128601074]
['AStar-Alg3-Add-umtranslog18'],[0.06075096130371094]
['AStar-Alg3-Add-umtranslog19'],[0.06034493446350098]
['AStar-Alg3-Add-umtranslog20'],[0.06452417373657227]
['AStar-Alg3-Add-umtranslog21'],[0.06028294563293457]
['AStar-Alg3-Add-umtranslog22'],[0.06076407432556152]
['AStar-Alg3-Add-satellite1'],[0.06063699722290039]
['AStar-Alg3-Add-satellite2'],[0.05961799621582031]
['AStar-Alg3-Add-satellite3'],[0.062239885330200195]
['AStar-Alg3-Add-satellite4'],[0.06066703796386719]
['AStar-Alg3-Add-satellite5'],[0.061737060546875]
['AStar-Alg3-Add-satellite6'],[0.059732913970947266]
['AStar-Alg3-Add-satellite7'],[0.0745398998260498]
['AStar-Alg3-Add-satellite8'],[0.21292901039123535]
['AStar-Alg3-Add-satellite9'],[0.34871912002563477]
['AStar-Alg3-Add-satellite10'],[0.14766812324523926]
['AStar-Alg3-Add-satellite11'],[0.4250648021697998]
['AStar-Alg3-Add-satellite12'],[0.6527810096740723]
['AStar-Alg3-Add-satellite13'],[0.7465219497680664]
['AStar-Alg3-Add-satellite14'],[2.1312248706817627]
['AStar-Alg3-Add-satellite15'],[0.6600830554962158]
['AStar-Alg3-Add-satellite16'],[3.05879807472229]
['AStar-Alg3-Add-satellite17'],[3.0703041553497314]
['AStar-Alg3-Add-satellite18'],[3.101485013961792]
['AStar-Alg3-Add-satellite19'],[3.068405866622925]
['AStar-Alg3-Add-satellite20'],[3.1051700115203857]
['AStar-Alg3-Add-satellite21'],[3.064591884613037]
['AStar-Alg3-Add-satellite22'],[3.1089329719543457]
['AStar-Alg3-Add-satellite23'],[0.056344032287597656]
['AStar-Alg3-Add-satellite24'],[0.057932138442993164]
['AStar-Alg3-Add-satellite25'],[0.06602597236633301]
['AStar-Alg3-Add-entertainment1'],[0.06277990341186523]
['AStar-Alg3-Add-entertainment2'],[0.09136509895324707]
['AStar-Alg3-Add-entertainment3'],[0.10317301750183105]
['AStar-Alg3-Add-entertainment4'],[0.10538601875305176]
['AStar-Alg3-Add-entertainment5'],[0.10313916206359863]
['AStar-Alg3-Add-entertainment6'],[3.9467670917510986]
['AStar-Alg3-Add-entertainment7'],[3.2658491134643555]
['AStar-Alg3-Add-entertainment8'],[3.3806679248809814]
