20s timeout,solution2/Exaustive/Stack-Add,solution2/Exaustive/Stack-FF,solution2/Exaustive/Stack-LmCut
woodworking-p10.hddl,51,54,57
woodworking-p4.hddl,7,7,7
woodworking-p8.hddl,46,52,44
woodworking-p9.hddl,37,37,37
woodworking-p5.hddl,13,13,13
woodworking-p11.hddl,44,41,41
woodworking-p1.hddl,23,23,23
woodworking-p6.hddl,13,13,13
woodworking-p2.hddl,5,5,5
woodworking-p7.hddl,31,31,34
woodworking-p3.hddl,8,8,8
