['testing/AStar-Alg3-LmCut-pcp13'],[0.2223358154296875]
['testing/AStar-Alg3-LmCut-pcp14'],[0.9998898506164551]
['testing/AStar-Alg3-LmCut-pcp15'],[0.06814408302307129]
['testing/AStar-Alg3-LmCut-pcp16'],[0.1113901138305664]
['testing/AStar-Alg3-LmCut-pcp17'],[21.08923101425171]
['testing/AStar-Alg3-LmCut-smartphone1'],[0.10526514053344727]
['testing/AStar-Alg3-LmCut-smartphone2'],[0.14569091796875]
['testing/AStar-Alg3-LmCut-smartphone3'],[21.447936058044434]
['testing/AStar-Alg3-LmCut-smartphone4'],[21.316415071487427]
['testing/AStar-Alg3-LmCut-smartphone5'],[0.057333946228027344]
['testing/AStar-Alg3-LmCut-smartphone6'],[0.07593584060668945]
['testing/AStar-Alg3-LmCut-smartphone7'],[0.05909299850463867]
['testing/AStar-Alg3-LmCut-transport1'],[0.06061410903930664]
['testing/AStar-Alg3-LmCut-transport2'],[0.15696096420288086]
['testing/AStar-Alg3-LmCut-transport3'],[0.07632088661193848]
['testing/AStar-Alg3-LmCut-transport4'],[7.358222961425781]
['testing/AStar-Alg3-LmCut-transport5'],[21.167974948883057]
['testing/AStar-Alg3-LmCut-transport6'],[21.714164972305298]
['testing/AStar-Alg3-LmCut-transport7'],[21.918020009994507]
['testing/AStar-Alg3-LmCut-transport8'],[21.1565899848938]
['testing/AStar-Alg3-LmCut-transport9'],[21.774152040481567]
['testing/AStar-Alg3-LmCut-transport10'],[21.26457190513611]
['testing/AStar-Alg3-LmCut-transport11'],[21.695873022079468]
['testing/AStar-Alg3-LmCut-transport12'],[21.114686965942383]
['testing/AStar-Alg3-LmCut-transport13'],[22.088885068893433]
['testing/AStar-Alg3-LmCut-transport14'],[23.558550119400024]
['testing/AStar-Alg3-LmCut-transport15'],[25.183783054351807]
['testing/AStar-Alg3-LmCut-transport16'],[22.720906019210815]
['testing/AStar-Alg3-LmCut-transport17'],[30.72379183769226]
['testing/AStar-Alg3-LmCut-transport18'],[24.0222749710083]
['testing/AStar-Alg3-LmCut-transport19'],[33.490082025527954]
['testing/AStar-Alg3-LmCut-transport20'],[25.64420199394226]
['testing/AStar-Alg3-LmCut-transport21'],[28.596497058868408]
['testing/AStar-Alg3-LmCut-transport22'],[30.734874963760376]
['testing/AStar-Alg3-LmCut-transport23'],[27.913311004638672]
['testing/AStar-Alg3-LmCut-transport24'],[28.38365602493286]
['testing/AStar-Alg3-LmCut-transport25'],[76.66635513305664]
['testing/AStar-Alg3-LmCut-transport26'],[145.03626704216003]
['testing/AStar-Alg3-LmCut-transport27'],[53.54307198524475]
['testing/AStar-Alg3-LmCut-transport28'],[99.41150903701782]
['testing/AStar-Alg3-LmCut-transport29'],[337.41676902770996]
['testing/AStar-Alg3-LmCut-transport30'],[342.7888231277466]
['testing/AStar-Alg3-LmCut-woodworking1'],[0.06947803497314453]
['testing/AStar-Alg3-LmCut-woodworking2'],[0.06883907318115234]
['testing/AStar-Alg3-LmCut-woodworking3'],[0.10484099388122559]
['testing/AStar-Alg3-LmCut-woodworking4'],[0.1030728816986084]
['testing/AStar-Alg3-LmCut-woodworking5'],[0.10741209983825684]
['testing/AStar-Alg3-LmCut-woodworking6'],[0.10663986206054688]
['testing/AStar-Alg3-LmCut-woodworking7'],[0.10249209403991699]
['testing/AStar-Alg3-LmCut-woodworking8'],[22.621714115142822]
['testing/AStar-Alg3-LmCut-woodworking9'],[16.52166485786438]
['testing/AStar-Alg3-LmCut-woodworking10'],[24.21130609512329]
['testing/AStar-Alg3-LmCut-woodworking11'],[21.323336839675903]
